date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:50	7892/7892	---M--	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2002:08:48%20GMT	https://verifyus.cc/afb8251	C:/My%20Web%20Sites/ddwx/verifyus.cc/afb8251.html	(from )
19:08:50	26/26	---M--	200	added ('OK')	text/plain	etag:%221a-5a2f7428ad967%22	https://verifyus.cc/robots.txt		(from )
19:08:53	105939/105939	---M--	200	added ('OK')	text/css	etag:%22323f5dbc2c30537175dad260d75cf7ad%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199a3073e46082b0e0d3a7ca4abaafc21fc.css	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199a3073e46082b0e0d3a7ca4abaafc21fc.css	(from https://verifyus.cc/afb8251)
19:08:54	3846/3846	---M--	200	added ('OK')	text/css	etag:%2225785146cf043eebbb440ec00e55db3d%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199673797c1e15941bdf458d49cd8a045fe.css	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199673797c1e15941bdf458d49cd8a045fe.css	(from https://verifyus.cc/afb8251)
19:08:54	11989/11989	---M--	200	added ('OK')	text/css	etag:%2265ffd730acd7dcabc2544862906ac609%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15942998837ed1b3a9e78abad8329fa3af5ec8c769.css	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15942998837ed1b3a9e78abad8329fa3af5ec8c769.css	(from https://verifyus.cc/afb8251)
19:08:54	16849/16849	---M--	200	added ('OK')	text/css	etag:%2212d88b292711cd2af776fc3c8cf2649e%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15218101990c531a0f9f6c7e75193d8dd38faec440.css	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15218101990c531a0f9f6c7e75193d8dd38faec440.css	(from https://verifyus.cc/afb8251)
19:08:55	7367/7367	---M--	200	added ('OK')	text/css	etag:%22216c4d202399fd760c03489a9d2dd4b4%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199d194fdee0f32436cbf5ad4fd8e6e72f1.css	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810199d194fdee0f32436cbf5ad4fd8e6e72f1.css	(from https://verifyus.cc/afb8251)
19:08:57	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ddwx/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://verifyus.cc/afb8251)
19:08:58	3193/3193	---M--	200	added ('OK')	image/png	etag:%22fd5b9eef2a89fefeb937a2c30720435e%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1594298481d08b4ac366cccd1135649a2bffd7fdfc.png	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/1594298481d08b4ac366cccd1135649a2bffd7fdfc.png	(from https://verifyus.cc/afb8251)
19:09:00	16917/16917	---M--	200	added ('OK')	application/x-javascript	etag:%22a220ca136d70be2c43b554b1a965bb7e%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810261c0031a6dfe8768aa8a1282bfe82d9bda.js	C:/My%20Web%20Sites/ddwx/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1521810261c0031a6dfe8768aa8a1282bfe82d9bda.js	(from https://verifyus.cc/afb8251)
